title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,1959,"6619 Daly Rd, Cincinnati, OH 45224",Cincinnati,OH,45224,3,2.0,1088,84900.0,84900.0,324.2604686801362,864.7604686801362,1100,44,,https://www.zillow.com/homedetails/6619-Daly-Rd-Cincinnati-OH-45224/34270172_zpid/
Condo for sale,CONDO,FOR_SALE,-1,"813 Broadway St # 405, Cincinnati, OH 45202",Cincinnati,OH,45202,1,2.0,,280000.0,43800.0,167.28631953109502,1299.952986197762,1400,45,"$15,000 (Nov 20)",https://www.zillow.com/homedetails/813-Broadway-St-405-Cincinnati-OH-45202/2088066978_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1952,"6972 Beechmont Ave, Cincinnati, OH 45230",Cincinnati,OH,45230,4,1.0,1498,139000.0,139000.0,530.8858085575846,1218.5524752242513,1400,45,,https://www.zillow.com/homedetails/6972-Beechmont-Ave-Cincinnati-OH-45230/34279720_zpid/
Condo for sale,CONDO,FOR_SALE,1967,"2200 Victory Pkwy APT 905, Cincinnati, OH 45206",Cincinnati,OH,45206,2,2.0,852,375000.0,34100.0,130.2388926029758,1449.7388926029757,1550,45,,https://www.zillow.com/homedetails/2200-Victory-Pkwy-APT-905-Cincinnati-OH-45206/71326504_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1949,"4102 Rowan Hill Dr, Cincinnati, OH 45227",Cincinnati,OH,45227,4,3.0,2717,649000.0,487600.0,1862.301584551642,3892.6382512183095,3993,45,,https://www.zillow.com/homedetails/4102-Rowan-Hill-Dr-Cincinnati-OH-45227/34314675_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1928,"1242 Mckeone Ave, Cincinnati, OH 45205",Cincinnati,OH,45205,2,1.0,978,64000.0,64000.0,244.43663127831235,721.603297944979,950,45,"$5,000 (Nov 19)",https://www.zillow.com/homedetails/1242-Mckeone-Ave-Cincinnati-OH-45205/34243029_zpid/
Foreclosed,SINGLE_FAMILY,FORECLOSED,2003,"4631 Melody Ln, Cincinnati, OH 45245",Cincinnati,OH,45245,4,3.0,2077,0,0,0,0,1975,45,,https://www.zillow.com/homedetails/4631-Melody-Ln-Cincinnati-OH-45245/68331371_zpid/
For sale by owner,LOT,FOR_SALE,-1,"Sutton Rd, Cincinnati, OH 45230",Cincinnati,OH,45230,,,,180000.0,4400.0,16.805018400383975,599.8050184003839,700,45,,https://www.zillow.com/homedetails/Sutton-Rd-Cincinnati-OH-45230/82323651_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2000,"537 Hoge St, Cincinnati, OH 45226",Cincinnati,OH,45226,2,3.0,1696,319900.0,208600.0,796.7106450727492,1899.8773117394157,2000,46,"$5,000 (Oct 30)",https://www.zillow.com/homedetails/537-Hoge-St-Cincinnati-OH-45226/34203784_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1890,"5206 Colerain Ave, Cincinnati, OH 45223",Cincinnati,OH,45223,3,3.0,1724,150000.0,134300.0,512.9349934480836,1199.9349934480836,1300,47,,https://www.zillow.com/homedetails/5206-Colerain-Ave-Cincinnati-OH-45223/34263223_zpid/
