title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url,img
House for sale,SINGLE_FAMILY,FOR_SALE,1987,"1630 Strathshire Hall Pl, Powell, OH 43065",Powell,OH,43065,4,4.0,3905,749900.0,469100.0,1791.644120822755,4012.947454156088,4113,187,,https://www.zillow.com/homedetails/1630-Strathshire-Hall-Pl-Powell-OH-43065/33738138_zpid/,https://photos.zillowstatic.com/p_e/ISjrgis3xltd9s0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1992,"5199 Stratford Ave, Powell, OH 43065",Powell,OH,43065,5,5.0,4768,645000.0,401400.0,1533.0759967986653,3477.8959967986652,3578,177,"$30,000 (Nov 6)",https://www.zillow.com/homedetails/5199-Stratford-Ave-Powell-OH-43065/33734107_zpid/,https://photos.zillowstatic.com/p_e/ISfce3aam8x70a1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2001,"8523 Misty Woods Cir, Powell, OH 43065",Powell,OH,43065,4,4.0,4617,624922.0,387822.0,1481.2172377440256,3372.623904410693,3473,136,"$9,978 (Oct 1)",https://www.zillow.com/homedetails/8523-Misty-Woods-Cir-Powell-OH-43065/55628897_zpid/,https://photos.zillowstatic.com/p_e/ISn6rbjfdv3ejn0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1991,"18 Sycamore Ridge Dr, Powell, OH 43065",Powell,OH,43065,5,4.0,3119,544900.0,329500.0,1258.4667188469361,2932.9033855136026,3033,123,"$5,000 (Nov 18)",https://www.zillow.com/homedetails/18-Sycamore-Ridge-Dr-Powell-OH-43065/33737648_zpid/,https://photos.zillowstatic.com/p_e/ISjr8w9o86dor90000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1999,"7849 Cook Rd, Powell, OH 43065",Powell,OH,43065,5,5.0,4017,825000.0,481300.0,1838.2398536601831,4224.989853660183,4325,10,,https://www.zillow.com/homedetails/7849-Cook-Rd-Powell-OH-43065/33754224_zpid/,https://photos.zillowstatic.com/p_e/IS76gyfupvpt1u0000000000.jpg
Condo for sale,CONDO,FOR_SALE,2012,"9785 Kingston Cir, Powell, OH 43065",Powell,OH,43065,4,4.0,4000,459000.0,230800.0,881.4996015474139,2549.999601547414,2650,16,,https://www.zillow.com/homedetails/9785-Kingston-Cir-Powell-OH-43065/118604263_zpid/,https://photos.zillowstatic.com/p_e/ISzrf2180u4aij0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2003,"8514 Northbluff Ln, Powell, OH 43065",Powell,OH,43065,5,4.0,5173,550000.0,328900.0,1256.1751254287021,2940.631792095369,3041,271,,https://www.zillow.com/homedetails/8514-Northbluff-Ln-Powell-OH-43065/58594771_zpid/,https://photos.zillowstatic.com/p_e/ISrpcgpgijjkog1000000000.jpg
Condo for sale,CONDO,FOR_SALE,2018,"113 Brookehill Dr, Powell, OH 43065",Powell,OH,43065,3,3.0,2935,384900.0,0,1470.0571777972254,0,,477,,https://www.zillow.com/homedetails/113-Brookehill-Dr-Powell-OH-43065/2087976910_zpid/,https://photos.zillowstatic.com/p_e/ISvkrfwx4likcb1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1998,"1288 Sherborne Ln, Powell, OH 43065",Powell,OH,43065,4,4.0,4346,659900.0,483100.0,1845.1146339148856,3893.8079672482186,3994,407,,https://www.zillow.com/homedetails/1288-Sherborne-Ln-Powell-OH-43065/33734722_zpid/,https://photos.zillowstatic.com/p_e/ISjvr9wq4iv7yr0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2003,"5127 Canterbury Dr, Powell, OH 43065",Powell,OH,43065,5,6.0,5626,975000.0,631100.0,2410.374343745983,5239.974343745984,5340,163,,https://www.zillow.com/homedetails/5127-Canterbury-Dr-Powell-OH-43065/33734096_zpid/,https://photos.zillowstatic.com/p_e/ISjzm0d7ipgv3w1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2004,"4323 Village Club Dr, Powell, OH 43065",Powell,OH,43065,4,5.0,4904,849000.0,548000.0,2092.9886553205497,4588.898655320549,4689,137,,https://www.zillow.com/homedetails/4323-Village-Club-Dr-Powell-OH-43065/67329127_zpid/,https://photos.zillowstatic.com/p_e/IS7qntkbkwcrcx0000000000.jpg
For sale by owner,SINGLE_FAMILY,FOR_SALE,2003,"7956 Coldwater Dr, Powell, OH 43065",Powell,OH,43065,3,2.5,2374,489900.0,240400.0,918.1650962391608,2399.665096239161,2500,33,,https://www.zillow.com/homedetails/7956-Coldwater-Dr-Powell-OH-43065/61484240_zpid/,https://photos.zillowstatic.com/p_e/ISr1igq5f9yadn1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1989,"6980 Concord Bend Dr, Powell, OH 43065",Powell,OH,43065,4,3.0,3694,550000.0,333600.0,1274.1259405382032,2962.7626072048697,3063,130,"$10,000 (Nov 11)",https://www.zillow.com/homedetails/6980-Concord-Bend-Dr-Powell-OH-43065/33754007_zpid/,https://photos.zillowstatic.com/p_e/ISni0zgo22jicr0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2010,"4512 Fox Path Ct, Powell, OH 43065",Powell,OH,43065,4,3.0,3329,539900.0,262700.0,1003.3359849501977,2607.689318283531,2708,16,,https://www.zillow.com/homedetails/4512-Fox-Path-Ct-Powell-OH-43065/102244910_zpid/,https://photos.zillowstatic.com/p_e/IS7ydzkyrf0mum0000000000.jpg
Condo for sale,CONDO,FOR_SALE,2004,"8037 Hillingdon Dr, Powell, OH 43065",Powell,OH,43065,3,4.0,2543,365000.0,240000.0,916.6373672936712,2399.9707006270046,2500,30,,https://www.zillow.com/homedetails/8037-Hillingdon-Dr-Powell-OH-43065/67333349_zpid/,https://photos.zillowstatic.com/p_e/ISvs5kjsoj4vuf0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"7873 Gateway Ln, Powell, OH 43065",Powell,OH,43065,4,4.0,4642,464900.0,293800.0,1122.1169104620026,2599.950243795336,2700,29,,https://www.zillow.com/homedetails/7873-Gateway-Ln-Powell-OH-43065/71408529_zpid/,https://photos.zillowstatic.com/p_e/IS3vwkimjalcwt1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"6790 Kellogg Dr, Powell, OH 43065",Powell,OH,43065,4,3.0,3352,414995.0,336795.0,1286.3286754903,2699.987008823633,2800,92,"$4,905 (Oct 15)",https://www.zillow.com/homedetails/6790-Kellogg-Dr-Powell-OH-43065/71408504_zpid/,https://photos.zillowstatic.com/p_e/ISfksrk0uxpcmr1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2015,"2618 Triple Crown Xing, Powell, OH 43065",Powell,OH,43065,5,4.0,3512,465000.0,356300.0,1360.8245581947297,2894.8745581947296,2995,164,"$4,000 (Dec 8)",https://www.zillow.com/homedetails/2618-Triple-Crown-Xing-Powell-OH-43065/122929408_zpid/,https://photos.zillowstatic.com/p_e/IS372th3nds88q0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2004,"4367 Hickory Rock Dr, Powell, OH 43065",Powell,OH,43065,4,5.0,3558,585000.0,362500.0,1384.504356849816,3170.9943568498165,3271,96,,https://www.zillow.com/homedetails/4367-Hickory-Rock-Dr-Powell-OH-43065/67329120_zpid/,https://photos.zillowstatic.com/p_e/ISbt8zms6bqkmt0000000000.jpg
Foreclosed,SINGLE_FAMILY,FORECLOSED,2004,"26 Watson Way, Powell, OH 43065",Powell,OH,43065,4,2.5,2548,0,0,0,0,2500,470,,https://www.zillow.com/homedetails/26-Watson-Way-Powell-OH-43065/67325510_zpid/,https://photos.zillowstatic.com/p_e/IS7eqrv4jqmar90000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2016,"4087 Harvest Point Dr, Powell, OH 43065",Powell,OH,43065,4,4.0,4459,669000.0,424000.0,1619.3926822188193,3633.8526822188196,3734,401,,https://www.zillow.com/homedetails/4087-Harvest-Point-Dr-Powell-OH-43065/197070624_zpid/,https://photos.zillowstatic.com/p_e/ISvcpon8toxa5a0000000000.jpg
Condo for sale,CONDO,FOR_SALE,1999,"10153 Chelton Wood, Powell, OH 43065",Powell,OH,43065,3,3.0,4164,697000.0,391100.0,1493.7369764523119,3795.6436431189795,3896,54,,https://www.zillow.com/homedetails/10153-Chelton-Wood-Powell-OH-43065/55630424_zpid/,https://photos.zillowstatic.com/p_e/ISrdfu44kwot8c1000000000.jpg
Condo for sale,CONDO,FOR_SALE,2004,"4181 Bishopsgate Way, Powell, OH 43065",Powell,OH,43065,3,3.0,2850,439000.0,207700.0,793.273254945398,2399.9399216120646,2500,99,"$20,000 (Sep 28)",https://www.zillow.com/homedetails/4181-Bishopsgate-Way-Powell-OH-43065/67333359_zpid/,https://photos.zillowstatic.com/p_e/IS376846xt95351000000000.jpg
