title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,1900,"36 W Markison Ave, Columbus, OH 43207",Columbus,OH,43207,2,3,1456,275000,85000,324.6424009,1224.725734,1325,15,,https://www.zillow.com/homedetails/36-W-Markison-Ave-Columbus-OH-43207/33842980_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1970,"1350 Bradshire Dr, Columbus, OH 43220",Columbus,OH,43220,3,2,1574,275000,164600,628.6604611,1599.993794,1700,15,,https://www.zillow.com/homedetails/1350-Bradshire-Dr-Columbus-OH-43220/33926320_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1987,"6931 Sparrow Ln, Columbus, OH 43235",Columbus,OH,43235,4,3,2168,279900,215400,822.6820371,1849.682037,1950,1,"$10,000 (Nov 7)",https://www.zillow.com/homedetails/6931-Sparrow-Ln-Columbus-OH-43235/34106223_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1949,"355 E Weisheimer Rd, Columbus, OH 43214",Columbus,OH,43214,3,2,1178,279900,140100,535.0870632,1494.637063,1595,1,,https://www.zillow.com/homedetails/355-E-Weisheimer-Rd-Columbus-OH-43214/33880101_zpid/
Condo for sale,CONDO,FOR_SALE,2009,"953 Ingleside Ave APT 216, Columbus, OH 43215",Columbus,OH,43215,2,2,1230,279900,128600,491.164856,1699.664856,1800,29,,https://www.zillow.com/homedetails/953-Ingleside-Ave-APT-216-Columbus-OH-43215/103771094_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1974,"3252 Noreen Ct, Columbus, OH 43221",Columbus,OH,43221,4,3,2799,280000,0,1069.410262,0,,0,,https://www.zillow.com/homedetails/3252-Noreen-Ct-Columbus-OH-43221/2082091375_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2000,"5820 Privilege Dr, Hilliard, OH 43026",Hilliard,OH,43026,4,3,1910,280000,203700,777.9959655,1794.712632,1895,7,,https://www.zillow.com/homedetails/5820-Privilege-Dr-Hilliard-OH-43026/51178886_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1956,"352 W Henderson Rd, Columbus, OH 43214",Columbus,OH,43214,3,2,1329,280000,183600,701.227586,1699.894253,1800,15,"$10,000 (Nov 1)",https://www.zillow.com/homedetails/352-W-Henderson-Rd-Columbus-OH-43214/33880965_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"6002 Mealla Rd, Westerville, OH 43081",Westerville,OH,43081,3,3,1947,284500,223000,851.7088871,1894.925554,1995,9,"$10,500 (Nov 6)",https://www.zillow.com/homedetails/6002-Mealla-Rd-Westerville-OH-43081/71977240_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1979,"8737 John John Ct, Powell, OH 43065",Powell,OH,43065,4,3,2396,284900,213300,814.6614602,1849.994794,1950,16,,https://www.zillow.com/homedetails/8737-John-John-Ct-Powell-OH-43065/34119577_zpid/
Condo for sale,CONDO,FOR_SALE,1890,"55 W Livingston Ave APT 307, Columbus, OH 43215",Columbus,OH,43215,1,2,1274,284900,0,1088.124941,0,,24,"$10,000 (Oct 31)",https://www.zillow.com/homedetails/55-W-Livingston-Ave-APT-307-Columbus-OH-43215/2082368942_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1976,"3004 Granada Hills Dr, Columbus, OH 43231",Columbus,OH,43231,3,3,3576,284900,222800,850.9450226,1894.828356,1995,25,"$5,000 (Nov 8)",https://www.zillow.com/homedetails/3004-Granada-Hills-Dr-Columbus-OH-43231/34111753_zpid/
Condo for sale,CONDO,FOR_SALE,1903,"1185 Gustavus Ln UNIT D, Columbus, OH 43205",Columbus,OH,43205,2,2,1640,285000,-6100,-23.29786642,1074.952134,1175,15,,https://www.zillow.com/homedetails/1185-Gustavus-Ln-UNIT-D-Columbus-OH-43205/300272826_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1914,"886 S 22nd St, Columbus, OH 43206",Columbus,OH,43206,3,3,1584,285000,107000,408.6674929,1348.977493,1449,18,,https://www.zillow.com/homedetails/886-S-22nd-St-Columbus-OH-43206/33837961_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2004,"6186 Marias Point Ln, Columbus, OH 43213",Columbus,OH,43213,2,3,2569,287900,186300,711.5397564,1728.88309,1829,28,"$2,000 (Nov 1)",https://www.zillow.com/homedetails/6186-Marias-Point-Ln-Columbus-OH-43213/71238210_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1988,"3889 Pinto Ct, Columbus, OH 43221",Columbus,OH,43221,4,3,2016,289000,199800,763.1006083,1794.817275,1895,9,,https://www.zillow.com/homedetails/3889-Pinto-Ct-Columbus-OH-43221/34082602_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1970,"5111 Pebble Ln, Columbus, OH 43220",Columbus,OH,43220,4,3,2336,289900,199400,761.5728793,1794.789546,1895,0,,https://www.zillow.com/homedetails/5111-Pebble-Ln-Columbus-OH-43220/33927395_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2002,"5977 Mcnaughten Grove Ln, Columbus, OH 43213",Columbus,OH,43213,4,3,2800,289900,199400,761.5728793,1794.789546,1895,6,,https://www.zillow.com/homedetails/5977-Mcnaughten-Grove-Ln-Columbus-OH-43213/58767900_zpid/
Condo for sale,CONDO,FOR_SALE,2005,"196 S Grant Ave APT 201, Columbus, OH 43215",Columbus,OH,43215,2,2,1206,289900,0,1107.221553,0,,17,,https://www.zillow.com/homedetails/196-S-Grant-Ave-APT-201-Columbus-OH-43215/2145973410_zpid/
